type,date,time,input_datasize_bytes,duration_s,throughput_bytes_s,throughput_per_node_bytes_s,cpu_used_percent,ram_used_bytes,disk_read_bytes_s,disk_write_bytes_s,network_receive_bytes_s,network_transmit_bytes_s,num_nodes,num_executors,executor_cores,executor_memory_mb,input_split_mb,buffer_kb,max_size_in_flight_mb,parallelism,date,time
ScalaSparkWordcount,2024-12-08,03:23:32,10933096528,140.588,77766925,38883462,52.09961685823753,2320955038.8965516,22748606.130949344,2959010.732737335,18836921.392848022,18001851.980268203,2,4,1,640m,128.0,,,,2024-12-08,03:23:33
ScalaSparkWordcount,2024-12-08,03:26:04,10933096528,140.13,78021098,39010549,57.57924648786719,2226369076.965517,21772147.28173691,2718536.29902086,18211991.29323116,17381515.024201788,2,4,1,640m,512.0,,,,2024-12-08,03:26:04
ScalaSparkWordcount,2024-12-08,03:28:57,10933096528,148.046,73849320,36924660,59.723433908045976,2332562227.2,21798010.22984127,2535022.50456486,18152290.07578612,17408216.640082102,2,4,1,640m,256.0,,,,2024-12-08,03:28:57
ScalaSparkWordcount,2024-12-08,03:31:50,10933096528,149.356,73201589,36600794,38.27583128078818,1462630809.6,15377435.609326765,651841.3633716474,12167954.44102422,11937024.224802958,2,4,1,640m,1024.0,,,,2024-12-08,03:31:50
ScalaSparkWordcount,2024-12-08,03:36:03,10933096528,134.741,81141571,40570785,45.73244613394822,2298152813.714286,22804657.386577476,2874078.3511373503,18916010.710945178,18017527.896124605,2,4,1,640m,,,,4.0,2024-12-08,03:36:03
ScalaSparkWordcount,2024-12-08,03:38:41,10933096528,136.335,80192881,40096440,48.88970446347371,2306105344.0,24402548.69752447,3026326.639466054,20233716.589559462,19287878.77084828,2,4,1,640m,,,,8.0,2024-12-08,03:38:42
ScalaSparkWordcount,2024-12-08,03:41:08,10933096528,129.794,84234221,42117110,32.32952474543425,1665599867.2592592,16920257.74304591,1633436.0782327314,13896564.192748286,13405781.66832371,2,4,1,640m,,,,10.0,2024-12-08,03:41:08
ScalaSparkWordcount,2024-12-08,03:44:42,10933096528,140.778,77661967,38830983,44.61130268199231,2177540237.2413793,14902857.802979993,9333651.453384418,18215487.367241383,18147257.772924654,2,4,1,640m,,,,12.0,2024-12-08,03:44:42
ScalaSparkWordcount,2024-12-08,03:50:30,16399605414,187.771,87338329,43669164,51.08237513829618,2576042199.5789475,24993464.178114958,2209544.4618513254,20138335.325735938,19500631.09819227,2,4,1,640m,128.0,,,,2024-12-08,03:50:30
ScalaSparkWordcount,2024-12-08,03:54:01,16399605414,192.388,85242350,42621175,66.81570011306852,2570553501.5384617,27018893.0986371,2194266.874693317,21961694.619221646,21274594.55128843,2,4,1,640m,256.0,,,,2024-12-08,03:54:01
ScalaSparkWordcount,2024-12-08,03:57:21,16399605414,185.62,88350422,44175211,70.25012446657185,2606931321.263158,28070795.897033874,2355399.664085137,22842230.205929942,22149874.189365022,2,4,1,640m,512.0,,,,2024-12-08,03:57:22
ScalaSparkWordcount,2024-12-08,04:00:40,16399605414,190.055,86288734,43144367,46.35814275814276,2056391128.6153846,20679288.14081774,1451063.02018942,16569914.131219678,16167795.418711014,2,4,1,640m,1024.0,,,,2024-12-08,04:00:40
ScalaSparkWordcount,2024-12-08,04:05:12,16399605414,191.655,85568367,42784183,53.23647736805631,2640621147.8974357,27854648.4164229,2309594.037139974,22490848.38879709,21766874.838119593,2,4,1,640m,,,,4.0,2024-12-08,04:05:12
ScalaSparkWordcount,2024-12-08,04:08:29,16399605414,189.296,86634717,43317358,45.48954480796585,2422982871.5789475,24108579.589947842,1953757.0412517781,19362872.955334287,18756887.531899005,2,4,1,640m,,,,8.0,2024-12-08,04:08:29
ScalaSparkWordcount,2024-12-08,04:12:13,16399605414,186.593,87889714,43944857,34.00933598071756,2016928714.1052632,18340619.153890733,1326667.5605289498,14724055.127261143,14314187.66385629,2,4,1,640m,,,,10.0,2024-12-08,04:12:13
ScalaSparkWordcount,2024-12-08,04:16:46,16399605414,185.279,88513028,44256514,27.332821637426918,1467831888.8421052,15771506.476413254,241279.95009746586,12101850.970760232,12057036.318128653,2,4,1,640m,,,,12.0,2024-12-08,04:16:46
ScalaSparkWordcount,2024-12-08,04:27:27,21866191585,239.207,91411169,45705584,49.41287315304347,1707119189.3333333,15828825.903991554,146283.35108186232,12093703.755490715,12067467.925543843,2,4,1,640m,128.0,,,,2024-12-08,04:27:27
ScalaSparkWordcount,2024-12-08,09:16:32,21866191585,243.495,89801398,44900699,51.858148248661166,5094021579.755102,47041747.45844551,3636938.84359531,8521985.83417539,8458058.930140618,2,4,1,640m,256.0,,,,2024-12-08,09:16:32
ScalaSparkWordcount,2024-12-08,09:20:34,21866191585,230.827,94729782,47364891,32.56908747044917,4061610594.0425534,34349082.53200945,1934270.5414657213,3848035.1231678487,6857588.9570212765,2,4,1,640m,512.0,,,,2024-12-08,09:20:35
ScalaSparkWordcount,2024-12-08,09:26:15,21866191585,215.129,101642231,50821115,47.83874509306879,4464084992.0,54428451.28549018,3161682.1017828602,9552100.347601222,10553617.133397978,2,4,1,640m,1024.0,,,,2024-12-08,09:26:16
ScalaSparkWordcount,2024-12-08,09:30:13,21866191585,224.844,97250500,48625250,20.901035684047006,3420434521.0434785,27611569.571101252,221810.09487162065,4957918.983674354,4956133.657758631,2,4,1,640m,,,,4.0,2024-12-08,09:30:14
ScalaSparkWordcount,2024-12-08,09:41:20,21866191585,243.237,89896650,44948325,19.881699232884642,3101535252.897959,25490557.200405266,403035.36141265015,4626070.777555242,4626564.678465286,2,4,1,640m,,,,8.0,2024-12-08,09:41:20
ScalaSparkWordcount,2024-12-08,10:05:13,21866191585,264.622,82631797,41315898,40.874149345723644,4186284335.4074073,41352467.94895693,3252326.707416098,7018030.974443194,6847165.230521616,2,4,1,640m,,,,10.0,2024-12-08,10:05:13
